0,1,2
539.512024,411.975006,1
542.241028,147.62600700000002,2
653.4689940000001,370.727997,0
598.585999,284.882996,1
573.062988,294.56298799999996,1
139.570007,401.381012,6
228.97000099999997,281.992004,6
305.747009,94.350998,7
610.617004,167.190002,1
500.450012,118.780998,2
341.804993,361.755005,5
128.582993,81.59899899999999,7
39.105,381.26599100000004,6
294.911987,421.48001100000005,6
189.21400500000001,322.730011,4
251.88900800000002,69.384003,7
116.09899899999999,296.382996,6
86.839996,307.89801,6
509.27200300000004,429.165985,1
90.306999,73.486,7
269.27099599999997,163.341995,8
137.112,289.68899500000003,6
63.613997999999995,406.865997,6
224.473007,92.762001,7
345.22601299999997,306.391998,5
188.507996,282.093994,6
47.276001,338.06399500000003,6
543.882019,319.738007,1
84.78600300000001,158.792007,8
542.72998,307.096008,1
430.753998,387.63501,6
578.630005,455.946991,1
374.85900899999996,346.17099,5
185.274002,91.510002,7
561.465027,397.192993,1
164.585999,286.822998,6
131.626999,166.382004,8
386.608002,289.194,6
531.517029,393.152008,1
181.292999,148.632996,8
496.5,219.106995,2
596.487,299.589996,1
545.2529910000001,396.721985,1
388.90100099999995,386.545013,6
589.398987,453.752991,1
310.58700600000003,434.139008,6
228.186005,404.26599100000004,6
506.63500999999997,61.938,3
90.807999,151.570999,8
506.35598799999997,340.463989,1
253.46699500000003,414.664001,6
572.642029,309.684998,1
456.951996,309.30899,6
656.77301,117.589996,1
99.839996,113.858002,7
536.731018,342.661987,1
563.982971,190.30599999999998,2
320.544006,334.01901200000003,5
129.748001,415.173004,6
564.97699,405.80899,1
626.1680299999999,325.358002,0
170.098007,278.63198900000003,6
243.063004,441.615997,6
441.85598799999997,166.511993,3
641.4580080000001,402.427002,1
165.67700200000002,258.36801099999997,6
615.776001,123.528999,1
47.348,173.026993,8
42.349998,154.636002,8
163.807999,359.445007,4
148.070007,264.644989,6
473.19299299999994,318.136993,6
110.273003,148.951004,8
154.587997,342.12399300000004,4
216.731003,284.403015,6
188.03100600000002,106.501999,7
626.596985,408.74301099999997,1
145.341003,168.382004,8
617.981018,186.985001,1
223.218002,98.852997,7
646.9520259999999,121.884003,1
613.054993,198.557007,1
476.22000099999997,155.419998,3
169.203995,62.771,7
21.128,311.597992,6
75.241997,182.811005,8
353.394989,417.424011,6
129.201004,68.598,7
170.35699499999998,371.300995,4
320.928009,424.826996,6
516.401978,86.344002,3
359.77600099999995,423.584015,6
638.393982,86.559998,1
150.483002,75.369003,7
600.05603,427.462006,1
547.299988,454.506012,1
135.699997,272.295013,6
369.291992,363.919006,5
127.582001,87.001999,7
558.185974,327.880005,1
297.02099599999997,261.791992,6
160.970993,335.471008,4
228.67700200000002,408.656006,6
303.339996,79.885002,7
199.936996,144.559998,8
126.147003,426.47799699999996,6
536.09198,243.266998,2
211.455994,169.44400000000002,8
628.419006,173.817001,1
555.273987,280.16299399999997,1
284.822998,433.44198600000004,6
205.84399399999998,156.134995,8
289.777008,85.092003,7
161.942001,107.855003,7
678.869995,439.98498499999994,1
668.520996,441.214996,1
496.81298799999996,353.347992,1
